,City,Industry,Gender,Years_Experience,Salary
0,Kano,Education,F,5,327789
1,Ibadan,Education,M,7,663153
2,Port Harcourt,Education,M,13,892452
3,Ibadan,Healthcare,F,15,987291
4,Ibadan,Oil & Gas,F,11,275657
5,Abuja,Tech,F,4,385167
6,Port Harcourt,Education,M,13,831669
7,Port Harcourt,Finance,F,7,630671
8,Port Harcourt,Education,M,19,869094
9,Ibadan,Finance,M,2,220467
10,Kano,Finance,F,10,333734
11,Port Harcourt,Education,F,13,772794
12,Ibadan,Healthcare,M,6,259751
13,Abuja,Finance,M,12,531050
14,Kano,Finance,F,12,961774
15,Abuja,Education,F,11,842517
16,Kano,Finance,F,7,611079
17,Ibadan,Finance,M,1,518452
18,Lagos,Education,M,1,256081
19,Kano,Education,M,13,763333
20,Abuja,Tech,M,9,708986
21,Ibadan,Healthcare,M,3,260078
22,Kano,Healthcare,M,7,172671
23,Lagos,Finance,F,6,568400
24,Lagos,Healthcare,M,8,505528
25,Port Harcourt,Finance,M,9,760490
26,Port Harcourt,Tech,M,5,201663
27,Abuja,Education,F,1,165708
28,Kano,Education,M,19,461955
29,Kano,Education,M,10,283883
30,Port Harcourt,Healthcare,F,12,468394
31,Kano,Tech,M,15,262547
32,Kano,Healthcare,M,9,709042
33,Lagos,Healthcare,M,17,901102
34,Port Harcourt,Tech,M,17,912002
35,Ibadan,Tech,M,12,292483
36,Port Harcourt,Tech,F,7,808271
37,Ibadan,Tech,F,2,364835
38,Lagos,Education,F,3,551896
39,Abuja,Oil & Gas,M,17,234896
40,Kano,Oil & Gas,M,5,627095
41,Lagos,Tech,M,17,221295
42,Kano,Oil & Gas,F,17,893974
43,Abuja,Oil & Gas,M,17,423255
44,Abuja,Tech,M,2,449648
45,Lagos,Oil & Gas,F,2,807162
46,Abuja,Healthcare,M,5,158155
47,Ibadan,Finance,F,1,616872
48,Abuja,Finance,F,1,975816
49,Kano,Tech,F,19,524705
